env,tool,job,dataset,dataset_percent,wall_seconds,spark_calcolo_s,input_bytes,ripetizioni,cluster
aws,spark-core,job_1,flights_1,1,31.9,1.61,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_1,flights_20,20,35.3,7.83,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_1,flights_50,50,39.1,12.05,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_1,flights_70,70,46.8,18.94,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_1,flights_cleaned,100,48.3,21.58,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_1,flights_1,1,36.4,4.1,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_1,flights_20,20,41.9,5.75,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_1,flights_50,50,48.7,7.73,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_1,flights_70,70,48.0,8.05,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_1,flights_cleaned,100,52.4,9.63,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_1,flights_1,1,35.8,,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_1,flights_20,20,32.7,,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_1,flights_50,50,40.2,,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_1,flights_70,70,40.6,,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_1,flights_cleaned,100,43.1,,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_2,flights_1,1,28.0,2.24,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_2,flights_20,20,36.4,9.19,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_2,flights_50,50,41.1,14.8,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_2,flights_70,70,49.7,22.31,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-core,job_2,flights_cleaned,100,50.8,24.72,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_2,flights_1,1,37.9,6.74,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_2,flights_20,20,44.9,8.43,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_2,flights_50,50,50.5,10.02,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_2,flights_70,70,53.0,11.69,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,spark-sql,job_2,flights_cleaned,100,59.1,13.7,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_2,flights_1,1,38.4,,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_2,flights_20,20,42.6,,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_2,flights_50,50,42.7,,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_2,flights_70,70,48.5,,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
aws,hive,job_2,flights_cleaned,100,54.0,,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge"
