env,tool,job,dataset,dataset_percent,wall_seconds,precisione_s,marcatore_parzialmente_coperto,spark_calcolo_parziale_s,input_bytes,ripetizioni,cluster,versione_codice,fonte
aws_legacy,spark-core,job_1,flights_1,1,31.87,0.015,False,1.61,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-core,job_1,flights_20,20,35.32,0.015,False,7.83,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-core,job_1,flights_50,50,39.11,0.015,False,12.05,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-core,job_1,flights_70,70,46.79,0.015,False,18.94,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-core,job_1,flights_cleaned,100,48.27,0.015,False,21.58,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-sql,job_1,flights_1,1,36.38,0.015,False,4.1,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-sql,job_1,flights_20,20,41.87,0.015,False,5.75,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-sql,job_1,flights_50,50,48.73,0.015,False,7.73,97567553,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-sql,job_1,flights_70,70,48.05,0.015,False,8.05,136570698,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,spark-sql,job_1,flights_cleaned,100,52.41,0.015,False,9.63,195081268,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,hive,job_1,flights_1,1,35.78,0.015,False,,1964580,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
aws_legacy,hive,job_1,flights_20,20,32.7,0.015,False,,39043032,1,"AWS EMR, 1 primary + 2 core m5.xlarge",precedente alle correzioni (commit 7ea55a0),stima dal grafico logs/aws/benchmark_job_1.png
