compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,368,-53.0,784.0,-4.73,0.0408,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,276,-32.0,1198.0,2.91,0.0145,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,182,-44.0,293.0,-1.82,0.0385,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,142,-29.0,660.0,1.19,0.007,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,70,-40.0,116.0,0.49,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,68,-35.0,217.0,6.15,0.0441,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,65,-29.0,188.0,4.23,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,36,-28.0,347.0,9.88,0.0556,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,34,-34.0,94.0,-4.88,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,27,-26.0,99.0,1.0,0.037,1|2|3|4|5|7|8|9|10|11|12
