compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,6353,-62.0,989.0,-2.66,0.0334,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,5488,-37.0,1207.0,2.67,0.0102,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,3441,-52.0,1082.0,2.17,0.0375,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,2582,-41.0,747.0,-0.43,0.0124,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,1545,-50.0,832.0,4.01,0.0084,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,1333,-44.0,767.0,1.77,0.0165,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,1257,-47.0,924.0,9.53,0.0263,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,657,-53.0,1027.0,8.79,0.0304,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,579,-42.0,781.0,-6.28,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,542,-39.0,462.0,0.33,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
