compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,15892,-69.0,1008.0,-3.41,0.0344,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,13435,-43.0,1207.0,2.73,0.012,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,8560,-60.0,1082.0,1.26,0.0345,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,6313,-41.0,941.0,0.26,0.0092,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,3767,-50.0,893.0,3.36,0.008,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,3293,-56.0,767.0,1.34,0.017,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,3151,-47.0,924.0,7.74,0.0314,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,1554,-53.0,1027.0,10.18,0.0386,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,1458,-42.0,781.0,-5.65,0.0165,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,1360,-48.0,1184.0,1.76,0.0301,1|2|3|4|5|6|7|8|9|10|11|12
