compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,22501,-69.0,1008.0,-3.17,0.0346,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,18811,-43.0,1207.0,2.62,0.0107,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,11984,-60.0,1082.0,1.37,0.0347,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,8905,-46.0,941.0,0.1,0.0094,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,5280,-50.0,893.0,2.76,0.0095,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,4597,-56.0,1035.0,2.2,0.0181,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,4495,-47.0,952.0,7.23,0.03,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,2196,-53.0,1027.0,7.97,0.0373,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,2035,-42.0,781.0,-4.82,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,1854,-49.0,1184.0,1.21,0.0313,1|2|3|4|5|6|7|8|9|10|11|12
