compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,6345,-58.0,792.0,-3.06,0.0309,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,5363,-40.0,953.0,3.19,0.0114,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,3350,-60.0,795.0,0.52,0.0349,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,2498,-46.0,663.0,0.88,0.0088,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,1483,-50.0,789.0,3.77,0.0067,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,1350,-50.0,451.0,1.61,0.017,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,1283,-45.0,924.0,8.33,0.0335,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,653,-38.0,1027.0,11.71,0.0398,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,583,-38.0,230.0,-4.86,0.0103,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,531,-40.0,406.0,-0.06,0.0414,1|2|3|4|5|6|7|8|9|10|11|12
