aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,52,-8.52,-14.79,7,39.29,37.0,6,208.33,206.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_WEATHER
ABE,2,68,-4.96,-19.41,3,29.0,10.0,4,166.5,162.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,3,71,-6.48,-17.56,5,34.6,18.8,6,179.0,166.17,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,4,45,-5.4,-18.42,6,33.5,23.17,4,427.0,420.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|CANC_WEATHER
ABE,5,82,-6.49,-13.71,4,25.75,31.5,7,154.57,143.71,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,6,70,-6.54,-15.44,7,21.14,9.43,10,136.4,137.9,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,60,-5.9,-10.25,6,35.33,21.17,10,104.2,101.6,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|CANC_CARRIER
ABE,8,56,-7.79,-18.91,8,29.5,27.75,5,141.2,134.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,59,-7.98,-17.1,6,30.5,28.5,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,10,63,-6.38,-17.05,8,21.88,7.75,4,246.75,243.5,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
