aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,186,-5.96,-15.33,24,33.67,29.67,17,214.71,205.35,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,214,-6.28,-19.1,12,30.58,15.25,10,189.5,177.7,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ABE,3,231,-6.62,-18.05,21,31.9,20.95,16,185.63,169.44,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,4,214,-6.95,-17.55,22,33.0,27.55,15,339.4,327.33,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,5,231,-6.5,-13.37,16,29.44,24.5,28,211.68,205.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,6,233,-6.95,-15.94,25,25.12,11.4,28,177.14,176.11,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,7,210,-6.33,-11.53,23,33.57,27.87,24,143.08,145.46,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,8,202,-6.86,-14.18,32,32.75,30.53,21,143.14,139.57,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,194,-7.16,-16.4,16,37.81,29.31,10,171.1,165.6,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABE,10,198,-6.23,-17.49,22,25.86,11.36,12,222.42,215.67,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
