compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,326,-58.0,332.0,-5.0,0.0245,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,272,-26.0,914.0,4.54,0.0037,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,166,-41.0,184.0,-0.17,0.0361,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,137,-32.0,176.0,-2.53,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,87,-40.0,73.0,-2.78,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,70,-41.0,382.0,12.01,0.0429,1|2|3|4|5|6|7|8|9|10|11
9E,CVG,49,-38.0,142.0,-4.79,0.0204,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,30,-37.0,118.0,2.97,0.0333,1|2|3|4|5|6|7|8|9|10|12
9E,BTV,28,-30.0,350.0,2.52,0.0357,1|2|3|4|5|6|7|8|9|10|11
9E,XNA,27,-38.0,44.0,-13.37,0.0,2|4|6|7|8|9|10|11|12
9E,ROC,25,-29.0,55.0,-3.6,0.0,3|4|5|6|7|8|9|10|11|12
9E,IND,25,-35.0,64.0,-1.0,0.0,3|4|5|6|7|8|9|10|11|12
9E,ORF,25,-28.0,177.0,2.8,0.0,2|3|4|5|6|7|8|9|10|11|12
9E,SAV,24,-31.0,332.0,12.35,0.0417,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,23,-26.0,103.0,1.19,0.087,1|2|3|5|6|7|9|11|12
9E,TYS,23,-27.0,20.0,-4.87,0.0,1|3|4|5|6|7|8|10|11|12
9E,CHO,22,-36.0,106.0,-4.45,0.0,2|3|4|5|6|7|10|11|12
9E,DSM,22,-25.0,89.0,-0.55,0.0,1|2|3|4|5|6|7|8|9|10|11
9E,CHS,20,-31.0,80.0,-4.47,0.05,1|2|3|5|6|7|8|9|11|12
9E,SYR,19,-35.0,220.0,14.26,0.0,1|2|3|4|5|7|8|9
9E,RIC,19,-31.0,98.0,-6.0,0.0,1|2|3|5|6|7|8|9|10|11|12
9E,CHA,19,-26.0,47.0,-3.47,0.0,1|3|6|7|8|9|10|11|12
9E,AGS,18,-27.0,77.0,0.83,0.0,2|4|5|6|7|8|9|10|12
9E,BUF,18,-28.0,18.0,-12.94,0.0556,1|2|4|5|6|8|9|10|11
9E,STL,16,-31.0,55.0,-10.38,0.0,1|4|8|9|10|11
9E,AEX,15,-25.0,34.0,-5.0,0.0,1|3|5|6|7|9|10|11|12
9E,DCA,15,-41.0,53.0,-4.67,0.0,1|2|3|5|7|8|9|10|11
9E,PIT,15,-35.0,37.0,-5.67,0.0,1|2|3|4|5|6|10|11|12
9E,EWR,14,-32.0,151.0,14.5,0.0,2|3|4|6|8|10|12
9E,BGR,14,-39.0,349.0,10.5,0.0,1|2|3|4|5|8|9|10|11|12
9E,SHV,14,-34.0,47.0,-3.92,0.0714,3|5|6|7|8|9|10|11|12
9E,BNA,14,-25.0,109.0,5.36,0.0,1|3|4|5|6|7|8|11
9E,ALB,14,-32.0,60.0,-2.71,0.0,1|2|3|4|5|8|10|11
9E,GSO,12,-28.0,18.0,-15.5,0.0,1|3|6|7|8|10|11|12
9E,CAE,12,-30.0,102.0,3.92,0.0,1|2|6|9|10|11|12
9E,EVV,11,-33.0,-11.0,-20.18,0.0,3|7|10|11|12
9E,MCI,10,-37.0,207.0,8.33,0.1,1|4|5|6|7|8|9
9E,LFT,10,-24.0,20.0,-7.0,0.0,1|3|4|5|10|11|12
9E,ILM,10,-20.0,82.0,-3.9,0.0,3|5|7|8|9|10|11
9E,MEM,10,-25.0,7.0,-14.4,0.0,5|7|8|9|10|11
9E,TRI,10,-28.0,74.0,-3.9,0.0,3|4|6|7
9E,PWM,9,-26.0,85.0,5.11,0.0,1|2|3|6
9E,JAX,9,-30.0,16.0,-13.25,0.1111,1|2|4|8|9|11
9E,MGM,9,-18.0,17.0,-8.56,0.0,1|3|4|5|6|8|10|11|12
9E,CWA,9,-30.0,8.0,-7.56,0.0,1|2|3|4|5|6|7|9|10
9E,ROA,9,-23.0,7.0,-10.56,0.0,2|5|7|10|11|12
9E,ABE,9,-36.0,100.0,16.88,0.1111,1|2|4|6|12
9E,MLU,9,-22.0,76.0,4.89,0.0,1|2|6|7|10|11|12
9E,GSP,9,-22.0,88.0,-0.33,0.0,1|3|4|5|7|12
9E,PVD,9,-32.0,14.0,-14.44,0.0,1|2|7|8|12
9E,MLI,8,-26.0,36.0,-8.5,0.0,2|4|5|6|9|11
9E,MKE,8,-42.0,-2.0,-18.5,0.0,2|3|4|5|7|10
9E,VLD,7,-15.0,15.0,-1.33,0.1429,4|7|9|10|11|12
9E,GRR,7,-25.0,-11.0,-16.83,0.1429,3|6|7|9
9E,BMI,7,-25.0,126.0,7.71,0.0,7|8|10|11|12
9E,BHM,7,-27.0,30.0,-9.71,0.0,3|4|6|7|9|12
9E,ITH,6,-35.0,-4.0,-23.17,0.0,3|8|9|10|12
9E,AVL,6,-26.0,83.0,3.17,0.0,2|7|8|10|12
9E,MOB,6,-24.0,96.0,8.5,0.0,4|5|6|10|11
9E,TLH,6,-16.0,43.0,0.5,0.0,1|9|10
9E,FAY,5,-24.0,8.0,-10.0,0.0,5|9|10
9E,HSV,5,-14.0,242.0,52.2,0.0,1|2|4
9E,OMA,5,-35.0,-4.0,-19.8,0.0,5|7|10|12
9E,PNS,5,-34.0,70.0,14.2,0.0,2|5|11|12
9E,LEX,5,-23.0,122.0,18.4,0.0,3|4|12
9E,MYR,5,-18.0,2.0,-10.75,0.2,1|5|11|12
9E,MSN,4,-17.0,4.0,-9.0,0.0,3|5|7
9E,CSG,4,-16.0,53.0,3.5,0.0,7|9|10
9E,HPN,4,-20.0,43.0,0.75,0.0,5|6|11
9E,DHN,4,-39.0,-5.0,-20.75,0.0,3|5|10|12
9E,SGF,4,-24.0,1.0,-11.5,0.0,2|8|11
9E,GNV,4,-6.0,107.0,25.5,0.0,1|3
