compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,22363,-62.0,1100.0,-3.04,0.0352,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,18726,-43.0,991.0,2.57,0.0117,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,11890,-60.0,994.0,0.46,0.0354,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,8929,-46.0,941.0,0.49,0.0099,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,5307,-50.0,849.0,3.15,0.0072,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,4662,-56.0,732.0,1.8,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,4533,-46.0,1018.0,8.03,0.0315,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,2195,-53.0,1027.0,9.38,0.0364,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,2022,-49.0,475.0,-4.86,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,1891,-49.0,912.0,-0.12,0.0338,1|2|3|4|5|6|7|8|9|10|11|12
