compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,22363,-62.0,1100.0,-3.04,0.0352,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,18726,-43.0,991.0,2.57,0.0117,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,11890,-60.0,994.0,0.46,0.0354,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,8929,-46.0,941.0,0.49,0.0099,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,5307,-50.0,849.0,3.15,0.0072,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,4662,-56.0,732.0,1.8,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,4533,-46.0,1018.0,8.03,0.0315,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,2195,-53.0,1027.0,9.38,0.0364,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,2022,-49.0,475.0,-4.86,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,1891,-49.0,912.0,-0.12,0.0338,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,1804,-42.0,1272.0,1.48,0.0183,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,1716,-48.0,1132.0,6.42,0.0274,1|2|3|4|5|6|7|8|9|10|11|12
9E,IND,1698,-48.0,1086.0,-0.9,0.0224,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,1551,-43.0,919.0,6.78,0.0239,1|2|3|4|5|6|7|8|9|10|11|12
9E,RIC,1453,-43.0,1101.0,8.45,0.031,1|2|3|4|5|6|7|8|9|10|11|12
9E,DCA,1406,-41.0,1036.0,8.3,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
9E,XNA,1402,-44.0,894.0,-0.71,0.0064,1|2|3|4|5|6|7|8|9|10|11|12
9E,SYR,1398,-56.0,677.0,-2.32,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHS,1387,-46.0,849.0,5.55,0.0404,1|2|3|4|5|6|7|8|9|10|11|12
9E,BUF,1332,-49.0,854.0,0.51,0.0278,1|2|3|4|5|6|7|8|9|10|11|12
9E,SAV,1329,-46.0,904.0,5.57,0.0316,1|2|3|4|5|6|7|8|9|10|11|12
9E,PIT,1277,-47.0,942.0,6.03,0.0305,1|2|3|4|5|6|7|8|9|10|11|12
9E,BTV,1242,-46.0,916.0,2.44,0.0258,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHO,1233,-43.0,1063.0,3.15,0.0276,1|2|3|4|5|6|7|8|9|10|11|12
9E,EWR,1135,-50.0,1110.0,16.32,0.0379,1|2|3|4|5|6|7|8|9|10|11|12
9E,AGS,1127,-35.0,534.0,5.66,0.024,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSO,1074,-46.0,879.0,-0.65,0.0261,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHA,1060,-41.0,1088.0,3.22,0.0066,1|2|3|4|5|6|7|8|9|10|11|12
9E,STL,1020,-40.0,801.0,-3.88,0.0373,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSP,975,-43.0,829.0,0.85,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
9E,ILM,893,-39.0,829.0,2.21,0.0213,1|2|3|4|5|6|7|8|9|10|11|12
9E,BGR,889,-47.0,395.0,-7.59,0.0405,1|2|3|4|5|6|7|8|9|10|11|12
9E,BNA,858,-36.0,1132.0,15.85,0.0385,1|2|3|4|5|6|7|8|9|10|11|12
9E,CAE,856,-35.0,542.0,1.96,0.0164,1|2|3|4|5|6|7|8|9|10|11|12
9E,MCI,844,-42.0,1047.0,5.47,0.045,1|2|3|4|5|6|7|8|9|10|11|12
9E,SHV,822,-37.0,667.0,-2.09,0.0134,1|2|3|4|5|6|7|8|9|10|11|12
9E,BHM,804,-50.0,730.0,-1.34,0.041,1|2|3|4|5|6|7|8|9|10|11|12
9E,TRI,797,-41.0,685.0,-4.35,0.0063,1|2|3|4|5|6|7|8|9|10|11|12
9E,MEM,760,-39.0,1305.0,0.58,0.0316,1|2|3|4|5|6|7|8|9|10|11|12
9E,ALB,741,-51.0,380.0,-3.9,0.0175,1|2|3|4|5|6|7|8|9|10|11|12
9E,ABE,700,-47.0,575.0,0.91,0.0157,1|2|3|4|5|6|7|8|9|10|11|12
9E,HPN,680,-45.0,899.0,0.38,0.0162,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROA,668,-41.0,777.0,4.71,0.0165,1|2|3|4|5|6|7|8|9|10|11|12
9E,MKE,647,-42.0,1114.0,9.73,0.0216,1|2|3|4|5|6|7|8|9|10|11|12
9E,GRR,642,-42.0,390.0,-2.1,0.0358,1|2|3|4|5|6|7|8|9|10|11|12
9E,JAX,640,-52.0,1147.0,-0.87,0.0234,1|2|3|4|5|6|7|8|9|10|11|12
9E,PWM,623,-44.0,1151.0,15.47,0.0465,1|2|3|4|5|6|7|8|9|10|11|12
9E,MGM,617,-35.0,1132.0,5.73,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,AEX,612,-33.0,979.0,12.05,0.0082,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLU,602,-37.0,885.0,5.42,0.0083,1|2|3|4|5|6|7|8|9|10|11|12
9E,LFT,571,-42.0,1171.0,0.9,0.014,1|2|3|4|5|6|7|8|9|10|11|12
9E,MOB,562,-32.0,1136.0,-0.25,0.0089,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSN,530,-58.0,395.0,-1.47,0.0264,1|2|3|4|5|6|7|8|9|10|11|12
9E,BMI,523,-38.0,567.0,2.02,0.0096,1|2|3|4|5|6|7|8|9|10|11|12
9E,VLD,518,-34.0,405.0,3.2,0.0232,1|2|3|4|5|6|7|8|9|10|11|12
9E,ITH,514,-55.0,1074.0,-3.34,0.0311,1|2|3|4|5|6|7|8|9|10|11|12
9E,PVD,513,-38.0,1135.0,6.18,0.0253,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLI,504,-36.0,350.0,1.9,0.0218,1|2|3|4|5|6|7|8|9|10|11|12
9E,CWA,503,-44.0,386.0,-4.13,0.0099,1|2|3|4|5|6|7|8|9|10|11|12
9E,GTR,488,-38.0,381.0,-5.72,0.0102,1|2|3|4|5|6|7|8|9|10|11|12
9E,EVV,480,-40.0,289.0,-5.59,0.0146,1|2|3|6|7|8|9|10|11|12
9E,AVL,474,-43.0,835.0,2.85,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
9E,SGF,438,-36.0,339.0,-0.52,0.0023,1|2|3|4|5|7|8|9|10|11|12
9E,TLH,431,-37.0,1143.0,9.24,0.0232,1|2|3|4|5|6|7|8|9|10|11|12
9E,CSG,422,-37.0,456.0,2.35,0.0308,1|2|3|4|5|6|7|8|9|10|11|12
9E,HSV,412,-32.0,989.0,3.19,0.017,1|2|3|4|5|6|7|8|10|11|12
9E,DHN,378,-41.0,937.0,5.52,0.0026,1|2|3|4|5|6|9|10|11|12
9E,MYR,375,-42.0,1011.0,-4.96,0.0293,1|2|3|4|5|6|7|8|9|10|11|12
9E,OAJ,368,-35.0,951.0,-0.05,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,DAY,355,-38.0,558.0,-4.84,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
9E,BWI,347,-45.0,368.0,6.68,0.0519,1|2|3|4|5|6|7|8|9|10
9E,BTR,345,-34.0,1015.0,9.28,0.0145,1|2|3|5|6|7|8|9|10|11|12
9E,OMA,344,-39.0,779.0,3.43,0.0262,1|2|3|4|5|6|7|8|9|10|11|12
9E,AUS,277,-35.0,1225.0,15.25,0.0036,1|2|3|4|5|6|7|11
9E,BGM,267,-50.0,1051.0,11.72,0.0375,1|2|3|4|5|6|7|8|9|10|11|12
9E,IAD,265,-55.0,202.0,-5.99,0.0038,1|2|3|4|9|10|11|12
9E,BDL,250,-31.0,303.0,3.4,0.024,1|2|3|4|5|6|7|8|9|10|12
9E,FAY,247,-30.0,949.0,7.63,0.0,1|2|3|4|5|6|9|10|11|12
9E,FSD,236,-48.0,412.0,4.1,0.0127,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORH,207,-40.0,951.0,10.73,0.0435,1|2|3|4|5|6|7|8|9|10|11|12
9E,MDT,194,-49.0,391.0,-0.3,0.0103,1|2|3|4|5|6|11|12
9E,LIT,192,-39.0,457.0,8.96,0.0156,1|2|3|4|6|7|8|9|10|11|12
9E,PNS,190,-42.0,961.0,9.28,0.0105,1|2|3|4|5|6|7|8|9|11|12
9E,JAN,180,-30.0,261.0,0.18,0.0,1|2|9|10|11|12
9E,CMH,179,-40.0,344.0,4.36,0.0,1|3|4|5|6|8|9|10|11|12
9E,TUL,178,-44.0,156.0,-1.01,0.0,1|2|3|4|5|6|9|10|11|12
9E,TVC,171,-37.0,1144.0,9.01,0.0058,1|4|5|6|7|8|9|10|11
9E,FWA,163,-54.0,351.0,1.86,0.0368,1|2|3|11
9E,RST,161,-35.0,865.0,11.96,0.0248,1|2|3|4|6|7|8|9|10|12
9E,FAR,160,-36.0,267.0,-1.86,0.0063,1|2|3|4|5|6|7|8|9|10|11
9E,LEX,145,-38.0,181.0,0.35,0.0,1|2|3|4|5|11|12
9E,RAP,145,-37.0,951.0,12.39,0.0,6|7|8|11|12
9E,ATW,141,-34.0,328.0,8.11,0.0,1|4|5|6|7|8|9|10
9E,CRW,134,-36.0,149.0,-6.2,0.0,1|3|4|9|10|11|12
9E,DLH,130,-26.0,151.0,6.64,0.0077,4|5|6|7|8|9
9E,SDF,117,-35.0,397.0,4.07,0.0342,1|2|4|5|6|7|8|9|10|12
9E,EYW,115,-25.0,334.0,14.0,0.0261,1|2|3|4|5|12
9E,ICT,114,-32.0,204.0,1.32,0.0,1|2|3|11|12
9E,CID,112,-30.0,129.0,-1.04,0.0,1|4|5|9|10|11
9E,LAN,111,-32.0,280.0,-0.06,0.018,1|2|3|7|8|9|10
9E,PHL,109,-37.0,144.0,-6.67,0.0,1|2|3|11|12
9E,BQK,101,-31.0,508.0,7.47,0.0,3|4|6|7|11|12
9E,GNV,88,-42.0,166.0,-0.2,0.0114,1|3|4|6|7|8|11|12
9E,MQT,78,-45.0,87.0,-16.41,0.0256,1|2|3|5|6
9E,MBS,70,-26.0,103.0,-4.31,0.0,4|5|6|7|8
9E,GFK,61,-45.0,355.0,7.43,0.0,1|2|3|9|12
9E,ORD,57,-26.0,266.0,14.8,0.0175,1|3|4|6|7|10|11
9E,GRB,48,-41.0,331.0,-10.1,0.0,1|4|5|10
9E,GPT,38,-34.0,221.0,-3.39,0.0,1|4|11|12
9E,ABY,29,-31.0,321.0,8.45,0.0,1|2|3|11|12
9E,FLL,18,-21.0,89.0,15.67,0.0,1|12
9E,ECP,16,-12.0,262.0,58.88,0.0,1
9E,RSW,13,-28.0,78.0,9.69,0.0,1|12
9E,VPS,11,-6.0,102.0,33.9,0.0909,1|2|3|9|10
9E,BIS,8,-14.0,102.0,20.13,0.0,7|8
9E,MIA,8,-7.0,82.0,34.75,0.0,1|12
9E,AZO,7,-16.0,18.0,-5.71,0.0,1
9E,SBN,7,-31.0,-9.0,-15.86,0.0,9|11|12
9E,BOS,5,-38.0,23.0,-15.2,0.0,1
9E,TPA,5,-1.0,296.0,123.4,0.0,12
9E,DFW,2,127.0,133.0,130.0,0.0,12
9E,OKC,2,-11.0,171.0,80.0,0.0,10
AA,DFW,116082,-57.0,1490.0,19.19,0.0198,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLT,88241,-65.0,1637.0,17.13,0.0136,1|2|3|4|5|6|7|8|9|10|11|12
AA,MIA,41945,-58.0,1750.0,17.64,0.017,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHX,38587,-88.0,1479.0,8.42,0.0056,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORD,36169,-71.0,1958.0,17.19,0.011,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHL,31970,-67.0,2189.0,11.13,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAX,21258,-64.0,2627.0,9.49,0.0067,1|2|3|4|5|6|7|8|9|10|11|12
AA,DCA,19134,-82.0,1964.0,9.33,0.0161,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCO,12644,-48.0,1385.0,15.16,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOS,12013,-77.0,2251.0,4.57,0.0147,1|2|3|4|5|6|7|8|9|10|11|12
AA,LGA,11593,-64.0,1887.0,8.6,0.0232,1|2|3|4|5|6|7|8|9|10|11|12
AA,JFK,10094,-89.0,1707.0,1.37,0.0113,1|2|3|4|5|6|7|8|9|10|11|12
AA,AUS,9727,-46.0,3803.0,20.14,0.0155,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAS,9695,-55.0,3023.0,11.03,0.0092,1|2|3|4|5|6|7|8|9|10|11|12
AA,TPA,8856,-47.0,1682.0,15.82,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
AA,RDU,7895,-60.0,2071.0,14.55,0.0163,1|2|3|4|5|6|7|8|9|10|11|12
AA,SFO,7499,-67.0,2972.0,15.36,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAN,6400,-50.0,3354.0,14.12,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,DEN,5908,-62.0,2012.0,12.96,0.0166,1|2|3|4|5|6|7|8|9|10|11|12
AA,BNA,5887,-44.0,2989.0,22.3,0.0211,1|2|3|4|5|6|7|8|9|10|11|12
