compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,32011,-69.0,1100.0,-3.05,0.035,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,26798,-43.0,1207.0,2.46,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,17108,-60.0,1082.0,1.1,0.0345,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,12712,-46.0,941.0,0.18,0.0093,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,7540,-50.0,893.0,3.14,0.0081,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,6605,-56.0,1035.0,2.07,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,6425,-47.0,1018.0,8.06,0.0297,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,3133,-53.0,1027.0,9.04,0.0393,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,2909,-49.0,781.0,-4.82,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,2683,-49.0,1184.0,1.37,0.0335,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,2592,-42.0,1272.0,0.87,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,2480,-48.0,1132.0,5.67,0.0278,1|2|3|4|5|6|7|8|9|10|11|12
9E,IND,2410,-48.0,1086.0,-1.08,0.0228,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,2193,-43.0,1024.0,6.57,0.0274,1|2|3|4|5|6|7|8|9|10|11|12
9E,RIC,2033,-46.0,1101.0,7.08,0.032,1|2|3|4|5|6|7|8|9|10|11|12
9E,DCA,2016,-44.0,1036.0,8.48,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
9E,SYR,2005,-56.0,677.0,-3.64,0.0249,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHS,1984,-46.0,849.0,3.8,0.0428,1|2|3|4|5|6|7|8|9|10|11|12
9E,XNA,1950,-44.0,894.0,0.3,0.0062,1|2|3|4|5|6|7|8|9|10|11|12
9E,BUF,1921,-49.0,996.0,0.6,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
9E,SAV,1856,-46.0,1159.0,5.9,0.0377,1|2|3|4|5|6|7|8|9|10|11|12
9E,PIT,1798,-50.0,1011.0,7.28,0.0273,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHO,1784,-43.0,1063.0,2.28,0.0269,1|2|3|4|5|6|7|8|9|10|11|12
9E,BTV,1782,-48.0,916.0,1.7,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
9E,EWR,1629,-50.0,1110.0,18.86,0.0387,1|2|3|4|5|6|7|8|9|10|11|12
9E,AGS,1602,-36.0,1091.0,6.97,0.0206,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSO,1553,-46.0,879.0,-2.87,0.0277,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHA,1533,-41.0,1088.0,2.92,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,STL,1475,-42.0,836.0,-2.73,0.0353,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSP,1378,-43.0,829.0,-0.08,0.0218,1|2|3|4|5|6|7|8|9|10|11|12
9E,ILM,1310,-39.0,829.0,1.54,0.0214,1|2|3|4|5|6|7|8|9|10|11|12
9E,BGR,1258,-47.0,459.0,-6.18,0.0405,1|2|3|4|5|6|7|8|9|10|11|12
9E,CAE,1252,-37.0,542.0,1.16,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
9E,MCI,1226,-42.0,1047.0,6.55,0.0424,1|2|3|4|5|6|7|8|9|10|11|12
9E,BNA,1186,-43.0,1214.0,17.46,0.0379,1|2|3|4|5|6|7|8|9|10|11|12
9E,SHV,1170,-37.0,667.0,-1.61,0.0162,1|2|3|4|5|6|7|8|9|10|11|12
9E,TRI,1131,-41.0,685.0,-4.31,0.0071,1|2|3|4|5|6|7|8|9|10|11|12
9E,BHM,1113,-50.0,730.0,-0.67,0.035,1|2|3|4|5|6|7|8|9|10|11|12
9E,ALB,1088,-51.0,394.0,-4.39,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
9E,MEM,1059,-39.0,1305.0,0.3,0.0264,1|2|3|4|5|6|7|8|9|10|11|12
9E,ABE,1015,-47.0,575.0,0.67,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
9E,HPN,955,-45.0,899.0,1.15,0.0147,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROA,955,-41.0,830.0,3.75,0.0188,1|2|3|4|5|6|7|8|9|10|11|12
9E,GRR,935,-42.0,390.0,-2.34,0.0406,1|2|3|4|5|6|7|8|9|10|11|12
9E,MGM,921,-35.0,1132.0,4.9,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,JAX,907,-52.0,1147.0,-0.2,0.0276,1|2|3|4|5|6|7|8|9|10|11|12
9E,MKE,903,-45.0,1114.0,7.81,0.0244,1|2|3|4|5|6|7|8|9|10|11|12
9E,PWM,893,-44.0,1269.0,13.94,0.0426,1|2|3|4|5|6|7|8|9|10|11|12
9E,AEX,877,-34.0,979.0,9.61,0.0103,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLU,869,-42.0,885.0,7.12,0.0081,1|2|3|4|5|6|7|8|9|10|11|12
9E,LFT,797,-42.0,1171.0,0.74,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
9E,MOB,769,-33.0,1136.0,-0.21,0.0091,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSN,751,-58.0,712.0,-0.3,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
9E,PVD,744,-40.0,1135.0,4.15,0.0228,1|2|3|4|5|6|7|8|9|10|11|12
9E,CWA,731,-44.0,386.0,-2.9,0.0082,1|2|3|4|5|6|7|8|9|10|11|12
9E,GTR,729,-38.0,381.0,-3.9,0.011,1|2|3|4|5|6|7|8|9|10|11|12
9E,BMI,729,-38.0,567.0,0.36,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
9E,ITH,727,-55.0,1074.0,-3.83,0.0289,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLI,722,-36.0,477.0,2.49,0.0208,1|2|3|4|5|6|7|8|9|10|11|12
9E,VLD,720,-34.0,405.0,3.89,0.0236,1|2|3|4|5|6|7|8|9|10|11|12
9E,EVV,701,-40.0,422.0,-4.27,0.01,1|2|3|6|7|8|9|10|11|12
9E,AVL,672,-43.0,949.0,1.92,0.0208,1|2|3|4|5|6|7|8|9|10|11|12
9E,SGF,634,-40.0,339.0,0.72,0.0047,1|2|3|4|5|7|8|9|10|11|12
9E,TLH,626,-37.0,1143.0,8.5,0.024,1|2|3|4|5|6|7|8|9|10|11|12
9E,CSG,595,-37.0,1247.0,3.69,0.0303,1|2|3|4|5|6|7|8|9|10|11|12
9E,HSV,590,-32.0,989.0,2.61,0.0153,1|2|3|4|5|6|7|8|10|11|12
9E,OAJ,548,-39.0,1157.0,0.57,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,MYR,545,-42.0,1011.0,-1.78,0.0239,1|2|3|4|5|6|7|8|9|10|11|12
9E,DHN,535,-41.0,937.0,3.57,0.0056,1|2|3|4|5|6|9|10|11|12
9E,BWI,500,-45.0,494.0,10.34,0.056,1|2|3|4|5|6|7|8|9|10
9E,BTR,499,-34.0,1015.0,5.55,0.018,1|2|3|5|6|7|8|9|10|11|12
9E,OMA,496,-39.0,779.0,5.02,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
9E,DAY,481,-38.0,558.0,-2.41,0.0229,1|2|3|4|5|6|7|8|9|10|11|12
9E,IAD,388,-55.0,382.0,-5.31,0.0026,1|2|3|4|9|10|11|12
9E,AUS,379,-35.0,1225.0,14.15,0.0053,1|2|3|4|5|6|7|11
9E,BGM,366,-50.0,1051.0,7.27,0.0328,1|2|3|4|5|6|7|8|9|10|11|12
9E,BDL,366,-31.0,303.0,1.55,0.0301,1|2|3|4|5|6|7|8|9|10|12
9E,FSD,354,-48.0,412.0,5.62,0.0085,1|2|3|4|5|6|7|8|9|10|11|12
9E,FAY,349,-32.0,949.0,8.37,0.0,1|2|3|4|5|6|9|10|11|12
9E,ORH,299,-40.0,1027.0,10.19,0.0502,1|2|3|4|5|6|7|8|9|10|11|12
9E,MDT,288,-50.0,391.0,-2.32,0.0104,1|2|3|4|5|6|11|12
9E,LIT,284,-39.0,457.0,8.23,0.0141,1|2|3|4|6|7|8|9|10|11|12
9E,PNS,264,-43.0,1089.0,16.91,0.0114,1|2|3|4|5|6|7|8|9|11|12
9E,TUL,260,-44.0,156.0,-1.43,0.0,1|2|3|4|5|6|9|10|11|12
9E,CMH,251,-40.0,344.0,1.48,0.004,1|3|4|5|6|8|9|10|11|12
9E,JAN,248,-30.0,894.0,3.44,0.004,1|2|9|10|11|12
9E,RST,244,-35.0,865.0,8.85,0.0205,1|2|3|4|6|7|8|9|10|12
9E,TVC,240,-37.0,1144.0,6.03,0.0083,1|4|5|6|7|8|9|10|11
9E,FWA,233,-54.0,351.0,-2.94,0.0343,1|2|3|11
9E,FAR,224,-36.0,267.0,-2.27,0.0045,1|2|3|4|5|6|7|8|9|10|11
9E,LEX,215,-38.0,181.0,-1.7,0.0,1|2|3|4|5|11|12
9E,RAP,195,-37.0,951.0,10.47,0.0,6|7|8|11|12
9E,DLH,189,-27.0,241.0,8.02,0.0106,4|5|6|7|8|9
