compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,64022,-69.0,1100.0,-3.05,0.035,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,53596,-43.0,1207.0,2.46,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,34216,-60.0,1082.0,1.1,0.0345,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,25424,-46.0,941.0,0.18,0.0093,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,15080,-50.0,893.0,3.14,0.0081,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,13210,-56.0,1035.0,2.07,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,12850,-47.0,1018.0,8.06,0.0297,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,6266,-53.0,1027.0,9.04,0.0393,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,5818,-49.0,781.0,-4.82,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,5366,-49.0,1184.0,1.37,0.0335,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,5184,-42.0,1272.0,0.87,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,4960,-48.0,1132.0,5.67,0.0278,1|2|3|4|5|6|7|8|9|10|11|12
9E,IND,4820,-48.0,1086.0,-1.08,0.0228,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,4386,-43.0,1024.0,6.57,0.0274,1|2|3|4|5|6|7|8|9|10|11|12
9E,RIC,4066,-46.0,1101.0,7.08,0.032,1|2|3|4|5|6|7|8|9|10|11|12
9E,DCA,4032,-44.0,1036.0,8.48,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
9E,SYR,4010,-56.0,677.0,-3.64,0.0249,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHS,3968,-46.0,849.0,3.8,0.0428,1|2|3|4|5|6|7|8|9|10|11|12
9E,XNA,3900,-44.0,894.0,0.3,0.0062,1|2|3|4|5|6|7|8|9|10|11|12
9E,BUF,3842,-49.0,996.0,0.6,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
9E,SAV,3712,-46.0,1159.0,5.9,0.0377,1|2|3|4|5|6|7|8|9|10|11|12
9E,PIT,3596,-50.0,1011.0,7.28,0.0273,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHO,3568,-43.0,1063.0,2.28,0.0269,1|2|3|4|5|6|7|8|9|10|11|12
9E,BTV,3564,-48.0,916.0,1.7,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
9E,EWR,3258,-50.0,1110.0,18.86,0.0387,1|2|3|4|5|6|7|8|9|10|11|12
9E,AGS,3204,-36.0,1091.0,6.97,0.0206,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSO,3106,-46.0,879.0,-2.87,0.0277,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHA,3066,-41.0,1088.0,2.92,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,STL,2950,-42.0,836.0,-2.73,0.0353,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSP,2756,-43.0,829.0,-0.08,0.0218,1|2|3|4|5|6|7|8|9|10|11|12
9E,ILM,2620,-39.0,829.0,1.54,0.0214,1|2|3|4|5|6|7|8|9|10|11|12
9E,BGR,2516,-47.0,459.0,-6.18,0.0405,1|2|3|4|5|6|7|8|9|10|11|12
9E,CAE,2504,-37.0,542.0,1.16,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
9E,MCI,2452,-42.0,1047.0,6.55,0.0424,1|2|3|4|5|6|7|8|9|10|11|12
9E,BNA,2372,-43.0,1214.0,17.46,0.0379,1|2|3|4|5|6|7|8|9|10|11|12
9E,SHV,2340,-37.0,667.0,-1.61,0.0162,1|2|3|4|5|6|7|8|9|10|11|12
9E,TRI,2262,-41.0,685.0,-4.31,0.0071,1|2|3|4|5|6|7|8|9|10|11|12
9E,BHM,2226,-50.0,730.0,-0.67,0.035,1|2|3|4|5|6|7|8|9|10|11|12
9E,ALB,2176,-51.0,394.0,-4.39,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
9E,MEM,2118,-39.0,1305.0,0.3,0.0264,1|2|3|4|5|6|7|8|9|10|11|12
9E,ABE,2030,-47.0,575.0,0.67,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
9E,HPN,1910,-45.0,899.0,1.15,0.0147,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROA,1910,-41.0,830.0,3.75,0.0188,1|2|3|4|5|6|7|8|9|10|11|12
9E,GRR,1870,-42.0,390.0,-2.34,0.0406,1|2|3|4|5|6|7|8|9|10|11|12
9E,MGM,1842,-35.0,1132.0,4.9,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,JAX,1814,-52.0,1147.0,-0.2,0.0276,1|2|3|4|5|6|7|8|9|10|11|12
9E,MKE,1806,-45.0,1114.0,7.81,0.0244,1|2|3|4|5|6|7|8|9|10|11|12
9E,PWM,1786,-44.0,1269.0,13.94,0.0426,1|2|3|4|5|6|7|8|9|10|11|12
9E,AEX,1754,-34.0,979.0,9.61,0.0103,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLU,1738,-42.0,885.0,7.12,0.0081,1|2|3|4|5|6|7|8|9|10|11|12
9E,LFT,1594,-42.0,1171.0,0.74,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
