aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,1375,-5.51,-14.56,150,34.9,32.5,150,241.3,234.03,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,1480,-6.62,-19.57,95,28.53,10.11,70,227.93,217.93,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ABE,3,1695,-6.19,-18.37,140,30.68,19.89,115,173.43,163.39,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ABE,4,1515,-6.45,-17.3,145,33.45,27.66,145,258.66,250.38,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,5,1600,-6.4,-12.5,130,30.08,29.58,195,183.13,177.13,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,6,1675,-6.85,-16.46,185,26.65,17.22,185,173.24,172.32,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,1400,-6.36,-10.59,205,34.61,30.15,185,138.08,137.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,8,1445,-6.64,-14.06,210,32.02,27.98,135,146.96,144.3,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,1380,-6.86,-15.9,120,38.08,32.88,80,265.06,261.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABE,10,1510,-6.03,-17.9,155,26.23,11.97,90,193.17,183.83,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
