compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,326,-58.0,332.0,-5.0,0.0245,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,272,-26.0,914.0,4.54,0.0037,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,166,-41.0,184.0,-0.18,0.0361,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,137,-32.0,176.0,-2.53,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,87,-40.0,73.0,-2.78,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,70,-41.0,382.0,12.01,0.0429,1|2|3|4|5|6|7|8|9|10|11
9E,CVG,49,-38.0,142.0,-4.79,0.0204,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,30,-37.0,118.0,2.97,0.0333,1|2|3|4|5|6|7|8|9|10|12
9E,BTV,28,-30.0,350.0,2.52,0.0357,1|2|3|4|5|6|7|8|9|10|11
9E,XNA,27,-38.0,44.0,-13.37,0.0,2|4|6|7|8|9|10|11|12
