aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,0,,,1,54.0,100.0,1,142.0,131.0,DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,2,8,-3.75,-23.5,0,,,0,,,N/D
ABE,3,1,-17.0,-29.0,0,,,0,,,N/D
ABE,4,3,-6.67,-14.0,0,,,0,,,N/D
ABE,5,4,-9.75,-22.5,0,,,1,264.0,240.0,DELAY_LATE_AIRCRAFT
ABE,6,5,-7.0,-19.8,0,,,1,97.0,76.0,CANC_CARRIER|DELAY_CARRIER
ABE,7,1,-8.0,25.0,0,,,0,,,DELAY_NAS
ABE,8,5,-12.2,-21.4,1,60.0,112.0,0,,,DELAY_LATE_AIRCRAFT
ABE,10,3,-10.33,-23.0,0,,,0,,,N/D
ABE,11,3,-12.0,-21.33,0,,,0,,,N/D
ABE,12,3,-7.0,-14.33,0,,,0,,,DELAY_NAS
ABI,1,1,-11.0,-27.0,1,48.0,73.0,0,,,DELAY_WEATHER
ABI,3,1,-4.0,-15.0,0,,,1,94.0,75.0,DELAY_LATE_AIRCRAFT
ABI,5,2,-4.5,-11.0,0,,,0,,,N/D
ABI,7,1,-4.0,1.0,0,,,0,,,N/D
ABI,8,2,-13.0,-4.5,0,,,0,,,N/D
ABI,9,2,-10.5,-9.0,0,,,0,,,N/D
ABI,11,3,-3.33,-11.33,0,,,0,,,N/D
ABI,12,1,10.0,4.0,0,,,0,,,N/D
ABQ,1,23,-3.52,-9.83,4,24.0,18.25,1,91.0,83.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ABQ,2,15,-4.4,-11.07,3,34.67,25.67,2,162.5,162.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABQ,3,12,-0.5,-5.83,2,21.5,18.5,0,,,DELAY_CARRIER
ABQ,4,14,1.0,-8.71,2,16.0,6.5,0,,,N/D
ABQ,5,9,1.33,-4.11,4,30.25,17.75,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ABQ,6,19,-2.26,-10.32,3,22.67,16.33,3,161.0,154.0,DELAY_LATE_AIRCRAFT|DELAY_NAS
ABQ,7,17,0.59,-6.41,4,36.75,31.5,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABQ,8,15,-5.13,-10.93,2,33.5,24.5,4,76.75,75.0,DELAY_LATE_AIRCRAFT|DELAY_NAS
ABQ,9,16,-5.56,-9.19,4,25.0,14.75,0,,,DELAY_LATE_AIRCRAFT
ABQ,10,27,-5.15,-8.04,2,34.5,27.0,0,,,DELAY_LATE_AIRCRAFT
ABQ,11,16,-2.75,-8.88,2,30.5,40.0,1,84.0,73.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ABQ,12,21,-1.9,-10.1,2,37.5,29.5,3,226.33,224.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABR,3,0,,,1,28.0,12.0,0,,,N/D
ABR,10,1,-4.0,-4.0,0,,,0,,,N/D
