compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,15903,-62.0,1100.0,-2.97,0.0346,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,13408,-43.0,991.0,2.34,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,8455,-60.0,994.0,0.36,0.0364,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,6368,-46.0,933.0,0.49,0.0102,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,3817,-50.0,849.0,3.2,0.0073,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,3372,-56.0,732.0,1.93,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,3226,-46.0,1018.0,8.03,0.031,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,1542,-42.0,1027.0,8.3,0.0389,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,1476,-49.0,475.0,-4.75,0.0129,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,1374,-49.0,499.0,0.6,0.0328,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,1305,-42.0,1272.0,1.86,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,1233,-48.0,1132.0,8.03,0.026,1|2|3|4|5|6|7|8|9|10|11|12
9E,IND,1215,-48.0,1086.0,-1.09,0.023,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,1098,-43.0,919.0,7.22,0.0237,1|2|3|4|5|6|7|8|9|10|11|12
9E,RIC,1059,-43.0,1101.0,7.47,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHS,1010,-45.0,849.0,6.28,0.0436,1|2|3|4|5|6|7|8|9|10|11|12
9E,XNA,997,-44.0,483.0,-0.35,0.005,1|2|3|4|5|6|7|8|9|10|11|12
9E,DCA,988,-41.0,1036.0,6.39,0.0202,1|2|3|4|5|6|7|8|9|10|11|12
9E,SYR,983,-47.0,326.0,-3.8,0.0224,1|2|3|4|5|6|7|8|9|10|11|12
9E,SAV,954,-46.0,904.0,4.81,0.0273,1|2|3|4|5|6|7|8|9|10|11|12
9E,BUF,944,-40.0,854.0,0.47,0.0307,1|2|3|4|5|6|7|8|9|10|11|12
9E,PIT,897,-47.0,857.0,5.45,0.0268,1|2|3|4|5|6|7|8|9|10|11|12
