aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,275,-5.51,-14.56,30,34.9,32.5,30,241.3,234.03,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,296,-6.62,-19.57,19,28.53,10.11,14,227.93,217.93,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ABE,3,339,-6.19,-18.37,28,30.68,19.89,23,173.43,163.39,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ABE,4,303,-6.45,-17.3,29,33.45,27.66,29,258.66,250.38,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,5,320,-6.4,-12.5,26,30.08,29.58,39,183.13,177.13,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,6,335,-6.85,-16.46,37,26.65,17.22,37,173.24,172.32,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,280,-6.36,-10.59,41,34.61,30.15,37,138.08,137.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,8,289,-6.64,-14.06,42,32.02,27.98,27,146.96,144.3,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,276,-6.86,-15.9,24,38.08,32.88,16,265.06,261.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABE,10,302,-6.03,-17.9,31,26.23,11.97,18,193.17,183.83,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
ABE,11,279,-6.35,-16.63,24,31.62,21.75,14,165.21,152.43,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,12,271,-4.88,-12.96,33,31.79,24.58,34,229.03,222.15,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,1,125,-6.34,-4.06,11,38.91,36.73,13,113.46,123.85,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
ABI,2,132,-6.43,-5.87,8,33.88,33.75,1,99.0,88.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
